epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,486.077,1.70097,1.25837,1.22618,0.0511,0.72435,0.66083,0.33068,1.493,3.07837,1.17198,0.000498523,0.000498523,0.000498523
43,497.216,1.59448,1.2663,1.17622,0.05673,0.78294,0.7411,0.38449,1.49838,2.95731,1.16002,0.000506061,0.000506061,0.000506061
44,508.233,1.74929,1.31461,1.21338,0.05673,0.78294,0.7411,0.38449,1.49838,2.95731,1.16002,0.000513379,0.000513379,0.000513379
45,519.551,1.62464,1.1856,1.16236,0.0633,0.86465,0.81176,0.40173,1.52862,2.86306,1.16766,0.000520477,0.000520477,0.000520477
46,530.895,1.70742,1.26016,1.20751,0.0633,0.86465,0.81176,0.40173,1.52862,2.86306,1.16766,0.000527355,0.000527355,0.000527355
47,542.321,1.66667,1.30827,1.19939,0.05957,0.80954,0.7393,0.33835,1.57021,2.95834,1.2133,0.000534013,0.000534013,0.000534013
48,553.651,1.66061,1.25718,1.22228,0.05957,0.80954,0.7393,0.33835,1.57021,2.95834,1.2133,0.000540451,0.000540451,0.000540451
49,564.678,1.67435,1.28742,1.22701,0.05424,0.73775,0.65521,0.29091,1.5644,3.07866,1.24762,0.000546669,0.000546669,0.000546669
50,575.929,1.65006,1.25401,1.17007,0.05424,0.73775,0.65521,0.29091,1.5644,3.07866,1.24762,0.000552667,0.000552667,0.000552667
51,587.277,1.71041,1.32159,1.14892,0.05543,0.76372,0.67479,0.3423,1.48408,3.00437,1.20692,0.000558445,0.000558445,0.000558445
52,598.744,1.65473,1.26003,1.13588,0.05543,0.76372,0.67479,0.3423,1.48408,3.00437,1.20692,0.000564003,0.000564003,0.000564003
53,610.059,1.62569,1.18851,1.13542,0.05543,0.76372,0.67479,0.3423,1.48408,3.00437,1.20692,0.000569341,0.000569341,0.000569341
54,621.292,1.59979,1.20763,1.16706,0.06034,0.83446,0.77108,0.40864,1.4532,2.78732,1.15452,0.000574458,0.000574458,0.000574458
55,632.53,1.65329,1.21774,1.14382,0.06034,0.83446,0.77108,0.40864,1.4532,2.78732,1.15452,0.000579356,0.000579356,0.000579356
56,643.657,1.65788,1.29598,1.16239,0.06034,0.83446,0.77108,0.40864,1.4532,2.78732,1.15452,0.000584033,0.000584033,0.000584033
57,655.024,1.6026,1.16021,1.1344,0.06375,0.87637,0.82844,0.44664,1.42621,2.63225,1.13554,0.000588491,0.000588491,0.000588491
58,666.317,1.60049,1.14046,1.13284,0.06375,0.87637,0.82844,0.44664,1.42621,2.63225,1.13554,0.000592729,0.000592729,0.000592729
59,677.713,1.55942,1.12019,1.12436,0.06375,0.87637,0.82844,0.44664,1.42621,2.63225,1.13554,0.000596746,0.000596746,0.000596746
